Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?,reader id
The Grace Year,Kim Liggett,,9781250145444,hardcover,read,2025/08/09,,,1.0,,,,,,,,,,,,,No,1
Such Sharp Teeth,Rachel Harrison,,9780593545829,hardcover,to-read,2025/01/28,,,0.0,,,,,,,,,,,,,No,1
This Inevitable Ruin ,Matt Dinniman,Jeff Hays (Narrator),B0DK22T2HW,audio,read,2025/10/19,2025/10/25,2025/10/19-2025/10/25,1.0,"adventurous, challenging, emotional, hopeful, reflective, tense",fast,A mix,Yes,Yes,Yes,It's complicated,5.0,,,,,No,1
Ninth House,Leigh Bardugo,,9781250313072,hardcover,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
Accomplice to the Villain,Hannah Nicole Maehrer,,9781529917772,digital,to-read,2025/08/10,,,0.0,,,,,,,,,,,,,No,1
The Knight and the Moth,Rachel Gillig,,9780316582704,hardcover,to-read,2025/07/02,,,0.0,,,,,,,,,,,,,No,1
Best Served Hot,Amanda Elliot,,9780593335734,paperback,to-read,2025/11/12,,,0.0,,,,,,,,,,,,,No,1
The House Across the Lake,Riley Sager,,9780593183199,hardcover,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
Spoiler Alert,Olivia Dade,,9780063005556,digital,to-read,2026/02/25,,,0.0,,,,,,,,,,,,,No,1
No More Secrets,Lucy Score,,9781945631375,digital,paused,2026/02/15,,,0.0,,,,,,,,,,,,,No,1
Stalking Jack the Ripper,Kerri Maniscalco,,9780316273497,hardcover,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
Long Time Gone,Charlie Donlea,Vivienne Leheny (Narrator),9798892731225,audio,did-not-finish,2025/11/09,,,0.0,,,,,,,,,,,,,No,1
Under Loch and Key,Lana Ferguson,,9780593816868,digital,to-read,2025/02/02,,,0.0,,,,,,,,,,,,,No,1
When the World Goes Quiet: A Novel,Gian Sardar,,9781662518669,paperback,read,2025/04/26,2025/04/12,2025/04/01-2025/04/12,1.0,"challenging, emotional, hopeful, inspiring, reflective, sad, tense",medium,Character,Yes,It's complicated,No,It's complicated,4.0,,,,,No,1
Lady Killers: Deadly Women Throughout History,Tori Telfer,,9780062433732,paperback,to-read,2025/01/21,,,0.0,,,,,,,,,,,,,No,1
You've Reached Sam,Dustin Thao,,9781250762030,hardcover,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
The Measure,Nikki Erlick,Julia Whelan (Narrator),9780063204249,audio,paused,2025/03/19,,,0.0,,,,,,,,,,,,,No,1
Vanderbilt: The Rise and Fall of an American Dynasty,"Katherine Howe, Anderson Cooper",Anderson Cooper (Narrator),9780062964656,audio,read,2026/01/15,2026/01/15,2026/01/15-2026/01/15,1.0,"informative, reflective",medium,,,,,,4.5,,,,,No,1
Fearless,Lauren Roberts,,9781665955461,hardcover,to-read,2025/04/19,,,0.0,,,,,,,,,,,,,No,1
Piranesi,Susanna Clarke,,9781635575637,hardcover,to-read,2025/01/28,,,0.0,,,,,,,,,,,,,No,1
Remarkably Bright Creatures,Shelby Van Pelt,,9780063204157,hardcover,to-read,2025/01/20,,,0.0,,,,,,,,,,,,,No,1
Everything I Know About Love: A Memoir,Dolly Alderton,,9780062968784,hardcover,paused,2025/01/20,,,0.0,,,,,,,,,,,,,Yes,1
The Deepest Roots,Miranda Asebedo,,9780062747075,hardcover,to-read,2025/01/21,,,0.0,,,,,,,,,,,,,No,1
First-Time Caller,B.K. Borison,,9780593641194,paperback,read,2025/07/02,2025/09/11,2025/08/25-2025/09/11,1.0,"emotional, funny, hopeful, inspiring, reflective",medium,Character,Yes,Yes,No,Yes,4.0,,,,,No,1
Red Widow,Alma Katsu,Mozhan Marnò (Narrator),9780593347874,audio,paused,2025/11/18,,,0.0,,,,,,,,,,,,,No,1
A Far Wilder Magic,Allison Saft,,,digital,to-read,2025/02/04,,,0.0,,,,,,,,,,,,,Yes,1
To Kill a Mockingbird,Harper Lee,,9780060935467,paperback,read,2025/01/28,,,1.0,,,,,,,,,,,,,Yes,1
Blood Over Bright Haven,M.L. Wang,,B0B5KLVCHZ,digital,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
Circe,Madeline Miller,,9780316556347,hardcover,read,2025/01/28,,,1.0,,,,,,,,,,,,,Yes,1
Hemlock & Silver,T. Kingfisher,,9781250342034,hardcover,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
The Binding,Bridget Collins,,9780008272111,hardcover,to-read,2025/03/29,,,0.0,,,,,,,,,,,,,No,1
The Night Tiger,Yangsze Choo,,9781250229175,paperback,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,Yes,1
Unmasked: My Life Solving America's Cold Cases,"Paul Holes, Robin Gaby Fisher",Paul Holes (Narrator),9781250818690,audio,read,2025/02/02,2025/02/03,2025/02/02-2025/02/03,1.0,"challenging, dark, emotional, informative, reflective, sad, tense",fast,,,,,,5.0,,,,,Yes,1
Project Hail Mary,Andy Weir,,9780593135204,hardcover,to-read,2025/08/10,,,0.0,,,,,,,,,,,,,No,1
The Book Swap,Tessa Bickers,,9781525836701,hardcover,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
Six of Crows,Leigh Bardugo,,9781627792127,hardcover,to-read,2025/01/20,,,0.0,,,,,,,,,,,,,No,1
House of Earth and Blood,Sarah J. Maas,,9781635574043,hardcover,to-read,2025/01/18,,,0.0,,,,,,,,,,,,,No,1
We Used to Live Here,Marcus Kliewer,,9781982198787,hardcover,to-read,2025/01/20,,,0.0,,,,,,,,,,,,,No,1
Don't Believe Her ,Nicola Sanders,,9781763659919,digital,to-read,2025/11/13,,,0.0,,,,,,,,,,,,,No,1
The Handmaid's Tale,Margaret Atwood,,9780385490818,paperback,read,2025/01/28,,,1.0,,,,,,,,,,,,,Yes,1
Barbarian Alien,Ruby Dixon,,9780593546031,paperback,did-not-finish,2025/02/08,,,1.0,,,,,,,,,,,,,No,1
Tell Me What You Did,Carter Wilson,,9781464226236,digital,paused,2025/04/17,,,0.0,,,,,,,,,,,,,No,1
Shield of Sparrows,Devney Perry,,9781649378514,hardcover,to-read,2025/07/02,,,0.0,,,,,,,,,,,,,Yes,1
Blood of Hercules,Jasmine Mas,,B0DFSJLWTT,digital,to-read,2025/02/08,,,0.0,,,,,,,,,,,,,No,1
What the River Knows,Isabel Ibañez,,9781250345394,hardcover,to-read,2025/01/30,,,0.0,,,,,,,,,,,,,Yes,1
Under the Whispering Door,TJ Klune,,9781250217349,hardcover,to-read,2025/01/20,,,0.0,,,,,,,,,,,,,Yes,1
The Bear and the Nightingale,Katherine Arden,,9781101885932,hardcover,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,Yes,1
She Started It,Sian Gilbert,,9780063286290,hardcover,read,2025/04/27,2025/04/29,2025/04/27-2025/04/29,1.0,"challenging, dark, emotional, mysterious, sad, tense",fast,A mix,It's complicated,No,No,Yes,5.0,,,,,Yes,1
Yours Truly,Abby Jimenez,,9781538704394,paperback,to-read,2025/04/19,,,0.0,,,,,,,,,,,,,No,1
The Night Circus,Erin Morgenstern,,9780385534635,hardcover,to-read,2025/01/18,,,0.0,,,,,,,,,,,,,No,1
It's Not Her,Mary Kubica,,9780778387992,hardcover,currently-reading,2026/02/03,,,0.0,,,,,,,,,,,,,No,1
None of This Is True,Lisa Jewell,,9781982179007,hardcover,read,2025/01/28,,,1.0,,,,,,,,,,,,,Yes,1
The Cruel Prince,Holly Black,,9780316310277,hardcover,to-read,2025/01/20,,,0.0,,,,,,,,,,,,,Yes,1
I Have Some Questions for You,Rebecca Makkai,,9780593490143,hardcover,read,2025/02/04,,,1.0,,,,,,,,,,,,,No,1
The Irresistible Urge to Fall For Your Enemy,Brigitte Knightley,,9780593819470,digital,to-read,2025/08/10,,,0.0,,,,,,,,,,,,,No,1
The Librarian of Boone's Hollow,Kim Vogel Sawyer,,,,to-read,2025/04/19,,,0.0,,,,,,,,,,,,,No,1
Love in the Time of Serial Killers,Alicia Thompson,,9780593438657,paperback,read,2026/01/07,2026/01/17,2026/01/07-2026/01/17,1.0,"challenging, dark, emotional, funny, hopeful",fast,Character,Yes,Yes,No,Yes,5.0,,,,,No,1
Jade City,Fonda Lee,,9780316440882,paperback,to-read,2025/01/20,,,0.0,,,,,,,,,,,,,No,1
Normal People,Sally Rooney,,9781984822178,hardcover,to-read,2025/01/28,,,0.0,,,,,,,,,,,,,No,1
The Future Saints,Ashley Winstead,,9781668024669,hardcover,read,2026/01/18,2026/02/11,2026/01/18-2026/02/11,1.0,"challenging, emotional, funny, hopeful, reflective, sad",slow,Character,Yes,It's complicated,Yes,Yes,3.75,,,,,No,1
Powerless,Lauren Roberts,,9798987380420,digital,to-read,2025/04/19,,,0.0,,,,,,,,,,,,,No,1
Iron Widow,Xiran Jay Zhao,,9780861542420,paperback,to-read,2025/01/30,,,0.0,,,,,,,,,,,,,No,1
Carl's Doomsday Scenario,Matt Dinniman,Jeff Hays (Narrator),B0934GTSGT,audio,read,2025/09/26,2025/09/28,2025/09/26-2025/09/28,1.0,"adventurous, challenging, emotional, tense",fast,A mix,Yes,Yes,Yes,It's complicated,5.0,,,,,No,1
The Thursday Murder Club,Richard Osman,,9780241425442,hardcover,to-read,2025/08/10,,,0.0,,,,,,,,,,,,,Yes,1
"With Love, from Cold World",Alicia Thompson,,9780593438671,paperback,to-read,2026/01/14,,,0.0,,,,,,,,,,,,,No,1
Do Your Worst,Rosie Danan,,9780593437148,paperback,read,2025/09/30,,,1.0,,,,,,,,,,,,,No,1
Bride,Ali Hazelwood,,9780593550403,paperback,paused,2025/09/01,,,0.0,,,,,,,,,,,,,No,1
The Very Secret Society of Irregular Witches,Sangu Mandanna,,9780593439357,paperback,read,2025/01/18,2025/01/11,2025/01/04-2025/01/11,1.0,"emotional, funny, hopeful, inspiring, lighthearted",medium,Character,,Yes,Yes,,5.0,,,,,No,1
A Perfect Story,Elísabet Benavent,,9781728296326,paperback,to-read,2026/02/28,,,0.0,,,,,,,,,,,,,No,1
Listen for the Lie,Amy Tintera,,9781250880314,hardcover,read,2025/05/18,2025/05/19,2025/05/18-2025/05/19,1.0,"challenging, dark, emotional, funny, mysterious, reflective, sad, tense",fast,Plot,It's complicated,No,No,Yes,5.0,,,,,Yes,1
You Shouldn't Have Come Here,Jeneva Rose,,9798212182805,hardcover,read,2025/02/04,,,1.0,,,,,,,,,,,,,No,1
Rose in Chains,Julie Soto,,9781538771228,hardcover,did-not-finish,2025/10/16,,,0.0,,,,,,,,,,,,,No,1
Sometimes I Lie,Alice Feeney,,9781250144843,hardcover,to-read,2026/03/21,,,0.0,,,,,,,,,,,,,No,1
The future saints,Ashley Winstead,,,paperback,to-read,2026/01/04,,,0.0,,,,,,,,,,,,,No,1
PS: I Hate You,Lauren Connolly,,9798892421560,hardcover,read,2025/08/18,2025/08/24,2025/08/18-2025/08/24,1.0,"adventurous, challenging, emotional, funny, hopeful, inspiring, reflective, sad",fast,A mix,Yes,Yes,No,Yes,5.0,,,,,No,1
The Overstory,Richard Powers,,9780393635522,hardcover,to-read,2025/02/04,,,0.0,,,,,,,,,,,,,No,1
A Broken Blade,Melissa Blair,,9781777927806,paperback,to-read,2025/01/18,,,0.0,,,,,,,,,,,,,Yes,1
Iron Flame,Rebecca Yarros,,9781649374172,hardcover,to-read,2025/01/18,,,0.0,,,,,,,,,,,,,Yes,1
Happy Medium,Sarah Adler,,9780593547816,paperback,read,2025/10/17,2025/11/06,2025/10/16-2025/11/06,1.0,"challenging, emotional, funny, hopeful, inspiring, reflective",medium,Character,Yes,Yes,No,Yes,4.0,,,,,No,1
Darling Girls,Sally Hepworth,Jessica Clarke (Narrator),9781250328854,audio,read,2025/08/19,2025/08/19,2025/08/19-2025/08/19,1.0,"challenging, dark, emotional, sad, tense",fast,A mix,Yes,Yes,No,Yes,5.0,,,,,No,1
Fourth Wing,Rebecca Yarros,,9781649374042,hardcover,to-read,2025/01/18,,,0.0,,,,,,,,,,,,,Yes,1
Close Your Eyes and Count to 10,Lisa Unger,,9780778333364,hardcover,paused,2025/09/17,,,0.0,,,,,,,,,,,,,No,1
"Sex, Lies and Sensibility",Nikki Payne,,9780593440964,paperback,to-read,2025/05/26,,,0.0,,,,,,,,,,,,,Yes,1
The Library Book,Susan Orlean,,9781476740188,hardcover,read,2025/04/11,,,1.0,,,,,,,,,,,,,No,1
They Never Learn,Layne Fargo,,9781982132026,hardcover,to-read,2025/04/13,,,0.0,,,,,,,,,,,,,No,1
The Midnight Book Club,E.W. Andersen,,9798998747700,paperback,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
Radar Girls,Sara Ackerman,,9780778332046,paperback,to-read,2025/04/03,,,0.0,,,,,,,,,,,,,No,1
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,,9781501139239,hardcover,to-read,2025/01/18,,,0.0,,,,,,,,,,,,,Yes,1
Throne of Glass,Sarah J. Maas,,9781639730940,hardcover,to-read,2025/01/20,,,0.0,,,,,,,,,,,,,No,1
Can't Spell Treason Without Tea,Rebecca Thorne,,9798986692418,paperback,to-read,2025/01/30,,,0.0,,,,,,,,,,,,,No,1
The London House,Katherine Reay,,9780785290209,paperback,to-read,2025/04/01,,,0.0,,,,,,,,,,,,,No,1
Blue Sisters,Coco Mellors,,9780008623005,paperback,to-read,2025/01/20,,,0.0,,,,,,,,,,,,,Yes,1
These Violent Delights,Chloe Gong,,9781534457690,hardcover,to-read,2025/03/29,,,0.0,,,,,,,,,,,,,Yes,1
Everything is Tuberculosis,John Green,,9780525556572,hardcover,to-read,2025/07/02,,,0.0,,,,,,,,,,,,,No,1
These Silent Woods,Kimi Cunningham Grant,Bronson Pinchot (Narrator),9781250823809,audio,read,2025/09/02,2025/09/03,2025/09/02-2025/09/03,1.0,"challenging, dark, emotional, mysterious, reflective, sad, tense",slow,Character,It's complicated,It's complicated,No,Yes,3.0,,,,,No,1
The Giver,Lois Lowry,,9780385732550,paperback,read,2025/01/28,,,1.0,,,,,,,,,,,,,No,1
The Girl Who Knew Too Much,"Jayne Ann Krentz, Amanda Quick",,9780399174476,hardcover,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,Yes,1
Blood Bound,Patricia Briggs,,9798890553140,audio,read,2025/02/11,2025/02/13,2025/02/11-2025/02/13,1.0,"adventurous, dark, mysterious, tense",fast,Plot,Yes,Yes,Yes,No,5.0,,,,,No,1
Ask for Andrea: Deluxe Stenciled Edges,Noelle W. Ihli,,1496758005,paperback,read,2025/12/28,2025/12/28,2025/12/28-2025/12/28,1.0,"challenging, dark, emotional, sad, tense",fast,A mix,It's complicated,It's complicated,No,It's complicated,5.0,,,,,No,1
Shiver,Allie Reynolds,,9780593187845,paperback,read,2025/11/07,2025/11/09,2025/11/07-2025/11/09,1.0,"adventurous, challenging, dark, emotional, inspiring, mysterious, reflective, sad, tense",fast,A mix,It's complicated,Yes,No,Yes,5.0,,,,,Yes,1
Last Call at the Nightingale,Katharine Schellman,,9781250831828,hardcover,paused,2025/06/20,,,0.0,,,,,,,,,,,,,No,1
Forever Never Always,Hanna Holt,,9798568614203,paperback,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
A Court of Silver Flames,Sarah J. Maas,,9781681196282,hardcover,to-read,2025/01/18,,,0.0,,,,,,,,,,,,,No,1
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Mary GrandPré (Illustrator),9780439136365,paperback,read,2025/01/28,,,1.0,,,,,,,,,,,,,Yes,1
The Ballad of Songbirds and Snakes,Suzanne Collins,,9781338635171,hardcover,to-read,2025/02/08,,,0.0,,,,,,,,,,,,,Yes,1
Problematic Summer Romance,Ali Hazelwood,,9798217188123,hardcover,read,2025/07/02,2025/07/26,2025/07/23-2025/07/26,1.0,"challenging, emotional, funny, hopeful, reflective",fast,A mix,Yes,Yes,No,Yes,4.0,,,,,Yes,1
Beach Read,Emily Henry,,9781984806734,paperback,to-read,2025/01/20,,,0.0,,,,,,,,,,,,,No,1
Great Big Beautiful Life,Emily Henry,,9780593441299,hardcover,to-read,2025/01/28,,,0.0,,,,,,,,,,,,,No,1
Rebel Witch,Kristen Ciccarelli,,9781250866929,hardcover,to-read,2025/04/19,,,0.0,,,,,,,,,,,,,No,1
The Haunting of Paynes Hollow,Kelley Armstrong,,9781250360571,digital,read,2025/10/13,2025/10/15,2025/10/13-2025/10/15,1.0,"adventurous, challenging, dark, emotional, mysterious, reflective, sad, tense",fast,A mix,It's complicated,It's complicated,No,It's complicated,5.0,,,,,Yes,1
A Tree Grows in Brooklyn,Betty Smith,,9780060736262,paperback,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
The Scot Beds His Wife,Kerrigan Byrne,,9781250122544,paperback,read,2025/06/29,2025/09/07,2025/09/04-2025/09/07,1.0,"adventurous, challenging, emotional, funny, hopeful, mysterious, reflective, sad, tense",medium,A mix,Yes,No,No,Yes,4.5,,,,,No,1
The Trees,Ali Shaw,,9781408862247,hardcover,to-read,2025/03/11,,,0.0,,,,,,,,,,,,,No,1
Miss Mary's Book of Dreams,Sophie Nicholls,,,,to-read,2025/01/21,,,0.0,,,,,,,,,,,,,No,1
The Berlin Letters,Katherine Reay,,9781400243068,paperback,to-read,2025/04/01,,,0.0,,,,,,,,,,,,,Yes,1
The Wedding People,Alison Espach,,9781250899569,digital,to-read,2025/01/18,,,0.0,,,,,,,,,,,,,Yes,1
Dark Matter,Blake Crouch,,9781101904220,hardcover,to-read,2025/01/20,,,0.0,,,,,,,,,,,,,No,1
Sunrise on the Reaping,Suzanne Collins,,9781546171461,hardcover,read,2025/04/19,2025/06/19,2025/06/10-2025/06/19,1.0,"challenging, dark, emotional, hopeful, reflective, sad, tense",fast,A mix,Yes,It's complicated,Yes,Yes,5.0,,,,,No,1
Ship Wrecked,Olivia Dade,,9780063215870,paperback,to-read,2026/02/25,,,0.0,,,,,,,,,,,,,No,1
Small Game,Blair Braverman,,9780063066175,hardcover,read,2025/01/21,2025/09/25,2025/09/20-2025/09/25,1.0,"adventurous, challenging, emotional, hopeful, informative, inspiring, reflective, sad, tense",slow,A mix,Yes,Yes,No,It's complicated,4.0,,,,,Yes,1
Reckless Memories,Catherine Cowles,,9781733596381,paperback,to-read,2025/12/04,,,0.0,,,,,,,,,,,,,No,1
Almost Everything: Notes on Hope,Anne Lamott,,9780525537441,hardcover,to-read,2025/02/23,,,0.0,,,,,,,,,,,,,No,1
Only Lovers in the Building,Nadine Gonzalez,,9780369749550,digital,paused,2025/07/01,,,0.0,,,,,,,,,,,,,No,1
Bury Our Bones in the Midnight Soil,V.E. Schwab,,9781250320520,hardcover,to-read,2025/01/28,,,0.0,,,,,,,,,,,,,Yes,1
The Return,Rachel Harrison,,9780593098660,hardcover,to-read,2025/04/03,,,0.0,,,,,,,,,,,,,Yes,1
A Court of Frost and Starlight,Sarah J. Maas,,9781635575620,paperback,to-read,2025/01/18,,,0.0,,,,,,,,,,,,,Yes,1
The Butcher's Masquerade,Matt Dinniman,Jeff Hays (Narrator),B09ZJ84HC2,audio,read,2025/10/07,2025/10/11,2025/10/07-2025/10/11,1.0,"adventurous, challenging, funny, tense",fast,A mix,Yes,Yes,Yes,It's complicated,4.75,,,,,No,1
A Novel Love Story,Ashley Poston,,9780593640975,paperback,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,Yes,1
The Spellshop,Sarah Beth Durst,,9781035042326,hardcover,to-read,2025/08/10,,,0.0,,,,,,,,,,,,,Yes,1
The Ministry of Time,Kaliane Bradley,,9781399726344,hardcover,to-read,2025/01/20,,,0.0,,,,,,,,,,,,,Yes,1
Red Sky Over Hawaii,Sara Ackerman,,9780778309673,paperback,to-read,2025/04/03,,,0.0,,,,,,,,,,,,,No,1
Ice Planet Barbarians,Ruby Dixon,,9780593546024,paperback,read,2025/02/06,2025/02/08,2025/02/06-2025/02/08,1.0,"adventurous, funny, lighthearted",fast,Character,No,Yes,Yes,No,4.0,,,,,No,1
Weyward,Emilia Hart,,9781250280800,hardcover,to-read,2025/01/20,,,0.0,,,,,,,,,,,,,No,1
The Hunter,Kerrigan Byrne,,9781250076069,paperback,read,2025/06/29,2025/07/11,2025/07/04-2025/07/11,1.0,"adventurous, challenging, emotional, funny, hopeful, mysterious, sad, tense",fast,A mix,It's complicated,Yes,No,Yes,5.0,,,,,No,1
The Enchanted Greenhouse,Sarah Beth Durst,,9781250333988,hardcover,to-read,2025/08/10,,,0.0,,,,,,,,,,,,,No,1
The Inheritance Games,Jennifer Lynn Barnes,,9781368052405,hardcover,to-read,2025/01/20,,,0.0,,,,,,,,,,,,,Yes,1
The Love Haters,Katherine Center,Patti Murin (Narrator),9781250395061,audio,paused,2026/02/28,,,0.0,,,,,,,,,,,,,No,1
The Hacienda,Isabel Cañas,,9780593436691,hardcover,to-read,2025/03/29,,,0.0,,,,,,,,,,,,,No,1
The Writing Retreat,Julia Bartz,,9781982199463,paperback,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,Yes,1
Sign Here,Claudia Lux,,9780593545768,hardcover,read,2025/08/15,2025/08/17,2025/08/15-2025/08/17,1.0,"challenging, dark, emotional, funny, reflective, sad, tense",fast,A mix,It's complicated,No,No,Yes,5.0,,,,,No,1
Hamnet,Maggie O'Farrell,,B07T4TCHM5,digital,to-read,2025/03/29,,,0.0,,,,,,,,,,,,,No,1
The Library: A Fragile History,"Andrew Pettegree, Arthur der Weduwen",,9781541600775,hardcover,paused,2025/09/16,,,0.0,,,,,,,,,,,,,Yes,1
The Briar Club,Kate Quinn,,9780063244764,digital,read,2025/02/08,,,1.0,,,,,,,,,,,,,Yes,1
Bone Crossed,Patricia Briggs,,9781101194782,audio,read,2025/02/15,2025/02/18,2025/02/15-2025/02/18,1.0,"adventurous, dark, mysterious, tense",fast,Plot,No,Yes,Yes,Yes,5.0,,,,,No,1
How to End a Love Story,Yulin Kuang,,9780063310681,paperback,read,2025/09/30,,,1.0,,,,,,,,,,,,,Yes,1
Belladonna,Adalyn Grace,,9780316158237,hardcover,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
The Only One Left,Riley Sager,,9780593183229,hardcover,read,2025/01/28,,,1.0,,,,,,,,,,,,,Yes,1
If We Were Villains,M.L. Rio,,9781250095282,hardcover,to-read,2025/01/20,,,0.0,,,,,,,,,,,,,No,1
"Jeneration X: One Reluctant Adult's Attempt to Unarrest Her Arrested Development; Or, Why It's  Never Too Late for Her Dumb Ass to Learn Why Froot Loops Are Not for Dinner",Jen Lancaster,,,audio,paused,2025/03/18,,,0.0,,,,,,,,,,,,,No,1
Harry Potter and the Deathly Hallows,J.K. Rowling,,9781526618351,paperback,read,2025/01/28,,,1.0,,,,,,,,,,,,,Yes,1
The Lost Story,Meg Shaffer,,9780593598870,hardcover,to-read,2025/02/04,,,0.0,,,,,,,,,,,,,Yes,1
The Invisible Life of Addie LaRue,V.E. Schwab,,9780765387561,hardcover,to-read,2025/01/18,,,0.0,,,,,,,,,,,,,Yes,1
Ink Blood Sister Scribe,Emma Törzs,Saskia Maarleveld (Narrator),9798212709958,audio,did-not-finish,2025/06/25,,,0.0,,,,,,,,,,,,,No,1
Katabasis,R.F. Kuang,,9780063021471,hardcover,paused,2026/01/02,,,0.0,,,,,,,,,,,,,Yes,1
Black Cake,Charmaine Wilkerson,,9780593358337,hardcover,to-read,2025/01/18,,,0.0,,,,,,,,,,,,,Yes,1
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,,9780060987107,paperback,to-read,2025/01/20,,,0.0,,,,,,,,,,,,,No,1
Winter Garden,Kristin Hannah,,9780312663155,paperback,read,2025/01/28,,,1.0,,,,,,,,,,,,,No,1
"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,,9781250391230,hardcover,to-read,2025/04/19,,,0.0,,,,,,,,,,,,,No,1
The Highwayman,Kerrigan Byrne,,9781250076052,paperback,read,2025/06/28,2025/07/01,2025/06/28-2025/07/01,1.0,"adventurous, challenging, dark, emotional, funny, hopeful, sad, tense",fast,A mix,Yes,Yes,It's complicated,It's complicated,5.0,,,,,No,1
The Buffalo Hunter Hunter,Stephen Graham Jones,,9781668075081,hardcover,to-read,2025/04/19,,,0.0,,,,,,,,,,,,,No,1
Dark Succession,Katee Robert,,9781538741047,paperback,read,2025/08/10,2025/08/13,2025/08/10-2025/08/13,1.0,"dark, emotional, tense",fast,Plot,No,It's complicated,No,It's complicated,4.5,,,,,No,1
Little Fires Everywhere,Celeste Ng,,9780349142920,paperback,read,2025/02/11,,,1.0,,,,,,,,,,,,,Yes,1
The Seven Year Slip,Ashley Poston,,9780593336502,paperback,read,2025/05/04,,,1.0,,,,,,,,,,,,,Yes,1
The Counterfeit Countess,"Elizabeth B. White, Joanna Sliwa",,9781982189129,hardcover,to-read,2025/03/16,,,0.0,,,,,,,,,,,,,No,1
Five Total Strangers,Natalie D. Richards,Devon Sorvari (Narrator),9781662048043,audio,paused,2026/01/15,,,0.0,,,,,,,,,,,,,No,1
Silver Borne,Patricia Briggs,,9781664618763,audio,read,2025/02/19,2025/02/20,2025/02/19-2025/02/20,1.0,"adventurous, dark, emotional, hopeful, sad, tense",fast,A mix,Yes,Yes,No,Yes,4.0,,,,,No,1
A Demon's Guide to Wooing a Witch,Sarah Hawley,,9780593547946,paperback,to-read,2025/05/05,,,0.0,,,,,,,,,,,,,Yes,1
Meet Me in Paradise,Libby Hubscher,,9780593199435,digital,to-read,2025/03/21,,,0.0,,,,,,,,,,,,,No,1
The Highlander,Kerrigan Byrne,,9781250076076,paperback,read,2025/06/29,2025/07/13,2025/07/12-2025/07/13,1.0,"adventurous, challenging, emotional, hopeful, tense",fast,Plot,Yes,Yes,No,Yes,5.0,,,,,No,1
The Lieutenant's Nurse,Sara Ackerman,,9780778307914,paperback,to-read,2025/04/03,,,0.0,,,,,,,,,,,,,No,1
The Eye of the Bedlam Bride,Matt Dinniman,"Travis Baldree (Narrator), Jeff Hays (Narrator), Patrick Warburton (Narrator)",B0CDXVN7BB,audio,read,2025/10/11,2025/10/19,2025/10/11-2025/10/19,1.0,"adventurous, challenging, emotional, funny, tense",fast,A mix,Yes,Yes,Yes,It's complicated,4.5,,,,,Yes,1
Nora Goes Off Script,Annabel Monaghan,,9780593420034,hardcover,read,2025/06/06,2025/06/09,2025/06/06-2025/06/09,1.0,"adventurous, challenging, emotional, funny, hopeful, inspiring, reflective",fast,Character,Yes,Yes,No,It's complicated,5.0,,,,,Yes,1
Candy Cain Kills,Brian McAuley,,9781959565208,digital,read,2024/10/15,,,2.0,,,,,,,,3.0,,,,,No,3
My Darling Girl,Jennifer McMahon,,9781668019061,hardcover,to-read,2024/01/08,,,0.0,,,,,,,,,,,,,No,3
Escape from Lucien,Kazu Kibuishi,,9780545433150,paperback,read,2015/05/29,,,1.0,,,,,,,,5.0,,,,,No,3
The Lost Plot,Genevieve Cogman,,9781509830718,digital,to-read,2024/05/30,,,0.0,,,,,,,,,,,,,No,3
The Reformatory,Tananarive Due,,9781982188344,hardcover,to-read,2024/07/14,,,0.0,,,,,,,,,,,,,No,3
The Wind-Up Bird Chronicle,Haruki Murakami,Jay Rubin,9780965341981,paperback,read,2015/05/29,2015/06/04,2015/06/04,1.0,,,,,,,,5.0,,,,,No,3
All I Want for Christmas Is Them,Adora Crooks,,B09L5KLVRX,digital,read,2025/12/12,2025/12/24,2025/12/12-2025/12/24,1.0,,,,,,,,3.0,,,,,No,3
