Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?,reader id
Little Fires Everywhere,Celeste Ng,,9780349142920,paperback,read,2019/12/27,2021/04/11,2021/04/11,1.0,,,,,,,,3.0,,,,,No,2
The Seven Year Slip,Ashley Poston,,9780593336502,paperback,read,2023/11/06,2024/11/15,2024/11/14-2024/11/15,1.0,,,,,,,,4.5,,,,,No,2
A Love Song for Ricki Wilde ,Tia Williams,,9781538726709,hardcover,read,2024/02/09,2025/02/17,2025/02/17-2025/02/17,1.0,,,,,,,,5.0,,,,,No,2
Where the Crawdads Sing,Delia Owens,,9781472157362,paperback,read,2019/12/27,2020/06/07,2020/06/07,1.0,,,,,,,,5.0,,,,"library, e-books, 2020-popsugar-challenge",No,2
Teacher of the Year,M.A. Wardell,,9798987787502,digital,to-read,2023/05/08,,,0.0,,,,,,,,,,,,,No,2
"Bridgerton Collection, Volume One",Julia Quinn,,,digital,to-read,2023/06/30,,,0.0,,,,,,,,,,,,,No,2
Murder and Mamon,Mia P. Manansala,,9780593549162,paperback,to-read,2023/10/04,,,0.0,,,,,,,,,,,,,No,2
The Fault in Our Stars,John Green,,9780525426417,hardcover,to-read,2015/02/12,,,0.0,,,,,,,,,,,,,No,2
Pour Your Heart Into It: How Starbucks Built a Company One Cup at a Time,Howard Schultz,Dori Jones Yang,9780786863150,hardcover,read,2011/08/18,2011/08/26,2011/08/26,1.0,,,,,,,,3.0,,,,summer-of-2011,No,2
The Thirteenth Tale,Diane Setterfield,,9780743298025,hardcover,to-read,2019/12/28,,,0.0,,,,,,,,,,,,,No,2
The Eye of the Bedlam Bride,Matt Dinniman,"Travis Baldree (Narrator), Jeff Hays (Narrator), Patrick Warburton (Narrator)",B0CDXVN7BB,audio,read,2025/08/02,2025/08/14,2025/08/02-2025/08/14,1.0,,,,,,,,3.5,,,,,No,2
Practice Makes Perfect,Sarah Adams,,9780593500804,paperback,to-read,2023/04/18,,,0.0,,,,,,,,,,,,,No,2
Audre and Bash Are Just Friends,Tia Williams,,9780316480697,digital,read,2026/02/04,2026/02/14,2026/02/03-2026/02/14,1.0,,,,,,,,3.75,,,,,No,2
The End of the World Is Just the Beginning: Mapping the Collapse of Globalization,Peter Zeihan,,9780063230477,hardcover,,,,,,,,,,,,,,,,,alex-ideas,No,2
A Touch of Stardust,Kate Alcott,,,,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
The Pumpkin Spice Café,Laurie Gilmore,,9780008610661,digital,to-read,2025/01/20,,,0.0,,,,,,,,,,,,,Yes,1
Ariadne,Jennifer Saint,,9781250773586,hardcover,paused,2025/03/16,,,0.0,,,,,,,,,,,,,No,1
The Gingerbread Bakery,Laurie Gilmore,,9780008728090,paperback,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
Reckless,Lauren Roberts,,9781665955430,hardcover,to-read,2025/04/19,,,0.0,,,,,,,,,,,,,No,1
A Werewolf's Guide To Seducing a Vampire,Sarah Hawley,,9780593547960,paperback,to-read,2025/05/05,,,0.0,,,,,,,,,,,,,Yes,1
The Hunger Games,Suzanne Collins,,9780439023481,hardcover,read,2025/01/19,,,1.0,,,,,,,,,,,,,Yes,1
Mockingjay,Suzanne Collins,,9780439023511,hardcover,read,2025/01/20,,,1.0,,,,,,,,,,,,,No,1
Even Though I Knew the End,C.L. Polk,,9781250849465,digital,to-read,2025/06/20,,,0.0,,,,,,,,,,,,,No,1
Parable of the Sower,Octavia E. Butler,,9780446675505,paperback,to-read,2025/01/28,,,0.0,,,,,,,,,,,,,No,1
Only If You're Lucky,Stacy Willingham,Karissa Vacker (Narrator),,audio,read,2025/08/20,2025/08/20,2025/08/20-2025/08/20,1.0,"challenging, dark, mysterious, sad, tense",fast,Plot,It's complicated,No,No,Yes,3.75,,,,,No,1
Good Bad Girl,Alice Feeney,,9781250843968,hardcover,to-read,2026/03/21,,,0.0,,,,,,,,,,,,,No,1
The Poppy War,R.F. Kuang,,9780062662590,digital,to-read,2025/01/18,,,0.0,,,,,,,,,,,,,Yes,1
The Nightingale,Kristin Hannah,,0312577222,hardcover,read,2025/01/28,,,1.0,,,,,,,,,,,,,Yes,1
The Lost Book of Bonn,Brianna Labuskes,,9780063259287,paperback,read,2025/09/27,2025/10/13,2025/09/27-2025/10/13,1.0,"adventurous, challenging, emotional, hopeful, inspiring, reflective, sad, tense",medium,A mix,Yes,Yes,No,Yes,2.75,,,,,Yes,1
The True Love Experiment,Christina Lauren,,9781982173432,hardcover,paused,2025/02/11,,,0.0,,,,,,,,,,,,,No,1
The Undertaking of Hart and Mercy,Megan Bannen,,9780316394215,paperback,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
Happy Place,Emily Henry,,9780593441275,hardcover,read,2025/01/28,,,1.0,"emotional, funny, hopeful",slow,Character,It's complicated,It's complicated,Yes,Yes,3.0,,,,,No,1
Iron Kissed,Patricia Briggs,,9781611764451,audio,read,2025/02/13,2025/02/15,2025/02/13-2025/02/15,1.0,"adventurous, challenging, dark, mysterious, sad, tense",fast,Plot,Yes,Yes,Yes,Yes,5.0,,"Moderate: Rape, Sexual assault; ",,,No,1
The Ex Hex,Erin Sterling,,9780063027473,paperback,read,2025/02/04,,,1.0,,,,,,,,,,,,,Yes,1
Forever Never,Lucy Score,,9781945631757,paperback,read,2025/12/03,2025/12/07,2025/12/02-2025/12/07,1.0,"challenging, emotional, funny, tense",fast,A mix,Yes,Yes,Yes,Yes,5.0,,,,,No,1
Sounds Like Love,Ashley Poston,,9780593641019,digital,to-read,2025/07/02,,,0.0,,,,,,,,,,,,,Yes,1
The Villa,Rachel Hawkins,,9781250280015,hardcover,read,2025/02/04,,,1.0,,,,,,,,,,,,,No,1
His & Hers,Alice Feeney,,9781250266095,paperback,to-read,2026/03/21,,,0.0,,,,,,,,,,,,,No,1
The Codebreaker's Secret,Sara Ackerman,,9780778386452,paperback,to-read,2025/04/03,,,0.0,,,,,,,,,,,,,No,1
Funny Story,Emily Henry,,9780593441282,hardcover,read,2025/01/28,,,1.0,,,,,,,,,,,,,No,1
Reckless Girls,Rachel Hawkins,,9781250274250,hardcover,read,2025/02/04,,,1.0,,,,,,,,,,,,,No,1
I Hope This Finds You Well,Natalie Sue,,9780008604472,audio,did-not-finish,2026/01/07,,,0.0,,,,,,,,,,,,,No,1
Agent 355,Marie Benedict,Emily Rankin (Narrator),B08BDV7WWM,audio,read,2025/01/30,,,1.0,,,,,,,,,,,,,No,1
Broken,Jenny Lawson,Jenny Lawson (Narrator),9781250790934,audio,did-not-finish,2025/01/18,,,0.0,,,,,,,,,,,,,No,1
Crossroads,Devney Perry,,9781662518782,paperback,to-read,2025/09/30,,,0.0,,,,,,,,,,,,,No,1
A Witch's Guide to Magical Innkeeping,Sangu Mandanna,,9780593439388,digital,to-read,2025/08/10,,,0.0,,,,,,,,,,,,,Yes,1
